passenger_id,first_name,last_name,frequent_flyer,weight,travel_style,baggage_count,check_in_preference,hair,eyes,skin_tone,clothes
P0030,Nisha,Hussain,NO,1,LEISURE,1,DESK,blonde,blue,tone_4,suit
P0031,Nhi,Li,NO,2,FAMILY,2,ONLINE,brunette_f,blue,tone_3,suit
P0032,Ryan,Malik,NO,2,LEISURE,0,ONLINE,blonde,blue,tone_3,suit
P0033,Obinna,Chen,NO,1,FAMILY,2,KIOSK,blonde,blue,tone_5,olive+green
P0034,Karim,Huynh,NO,3,LEISURE,1,ONLINE,blonde,blue,tone_5,suit
P0035,Jian,Petit,NO,1,LEISURE,0,ONLINE,blonde,black,tone_1,olive+green
P0036,Karim,Jackson,NO,1,SOLO,0,DESK,black,blue,tone_6,suit
P0037,James,Garcia,YES,6,FAMILY,2,DESK,brunette_f,blue,tone_1,blue
P0038,Casey,Byrne,NO,3,LEISURE,1,DESK,brunette,black,tone_1,red
P0039,David,Morgan,NO,2,LEISURE,1,ONLINE,brunette,blue,tone_2,blue
P0040,Joon,Taylor,NO,3,BUSINESS,1,KIOSK,black,black,tone_4,olive+green
P0041,Nathan,Akhtar,YES,10,LEISURE,2,ONLINE,blonde_f,blue,tone_2,blue
P0042,Oisin,Romano,NO,2,FAMILY,2,DESK,black_f,black,tone_2,olive+green
P0043,Johanna,Schneider,NO,2,SOLO,0,ONLINE,brunette_f,blue,tone_4,red
P0044,Lucie,Phan,NO,2,FAMILY,1,DESK,black,black,tone_5,blue
P0045,Alfie,Kim,NO,2,SOLO,0,DESK,blonde_f,blue,tone_6,olive+green
P0046,Neil,Nair,NO,2,LEISURE,1,DESK,blonde_f,blue,tone_2,red
P0047,Leo,White,NO,2,LEISURE,0,ONLINE,blonde_f,black,tone_3,olive+green
P0048,Diya,Murphy,YES,5,LEISURE,1,ONLINE,brunette,black,tone_1,red
P0049,Bilal,Zhang,NO,2,BUSINESS,1,ONLINE,black_f,blue,tone_5,red
P0050,Simran,Jimenez,NO,3,LEISURE,1,KIOSK,blonde_f,blue,tone_5,olive+green
P0051,Alessia,Liu,NO,2,BUSINESS,1,ONLINE,black_f,black,tone_4,red
P0052,Yasmin,Sow,NO,1,FAMILY,3,DESK,blonde_f,blue,tone_1,suit
P0053,Jack,Sharma,YES,9,FAMILY,2,DESK,blonde_f,black,tone_3,olive+green
P0054,Kojo,Young,NO,1,SOLO,1,ONLINE,black,blue,tone_2,olive+green
P0055,Alessia,Bianchi,NO,3,LEISURE,0,KIOSK,brunette_f,blue,tone_4,suit
P0056,Sami,Zhang,YES,6,BUSINESS,1,ONLINE,black,black,tone_6,olive+green
P0057,Nari,Owusu,NO,2,LEISURE,1,ONLINE,brunette_f,black,tone_3,suit
P0058,Henry,Singh,YES,7,BUSINESS,1,KIOSK,brunette,blue,tone_6,blue
P0059,Sota,Nwosu,YES,5,LEISURE,0,ONLINE,brunette_f,black,tone_6,red
P0060,Ibrahim,Phan,YES,6,BUSINESS,1,KIOSK,blonde,blue,tone_3,blue
P0061,Aanya,Jones,NO,3,FAMILY,2,ONLINE,black,blue,tone_4,red
P0062,Charlotte,Wisniewski,NO,2,BUSINESS,0,ONLINE,brunette_f,blue,tone_4,blue
P0063,Ahmed,Nwosu,NO,2,BUSINESS,0,DESK,black_f,black,tone_6,suit
P0064,Henry,Rahman,NO,3,LEISURE,1,DESK,black,black,tone_6,olive+green
P0065,Declan,Nowak,NO,2,BUSINESS,1,ONLINE,blonde_f,blue,tone_5,blue
P0066,Alessia,Russell,NO,1,FAMILY,3,ONLINE,brunette_f,blue,tone_5,red
P0067,Lena,Roberts,NO,1,SOLO,1,KIOSK,blonde,blue,tone_2,red
P0068,David,Scott,NO,3,SOLO,0,DESK,brunette_f,blue,tone_3,suit
P0069,Ruby,Watson,YES,7,SOLO,1,KIOSK,blonde_f,black,tone_3,blue
P0070,Veer,Kowalski,NO,3,LEISURE,1,ONLINE,brunette_f,blue,tone_5,olive+green
P0071,Hassan,Mahmood,NO,2,LEISURE,1,DESK,brunette_f,blue,tone_1,olive+green
P0072,Jacob,Boateng,NO,2,BUSINESS,0,KIOSK,brunette,blue,tone_5,suit
P0073,Ali,Mitchell,NO,2,LEISURE,1,KIOSK,black_f,blue,tone_6,red
P0074,Jordan,Lopez,YES,5,LEISURE,1,DESK,brunette,blue,tone_2,red
P0075,Declan,Kang,NO,1,LEISURE,2,KIOSK,black,black,tone_2,red
P0076,Bilal,Kim,NO,1,SOLO,0,ONLINE,blonde,black,tone_3,suit
P0077,Mai,Verma,NO,1,SOLO,2,ONLINE,brunette,black,tone_2,olive+green
P0078,Mariam,Lewandowski,NO,2,LEISURE,2,KIOSK,brunette,blue,tone_2,blue
P0079,Lily,Stewart,NO,1,LEISURE,1,KIOSK,brunette,black,tone_1,red
P0080,Vihaan,Weber,YES,6,BUSINESS,1,DESK,brunette_f,black,tone_2,red
P0081,Sam,Perez,NO,1,LEISURE,1,DESK,brunette,blue,tone_1,suit
P0082,Jordan,Kaminski,NO,1,LEISURE,1,DESK,brunette_f,black,tone_6,olive+green
P0083,Anja,Petit,NO,3,BUSINESS,0,ONLINE,blonde,blue,tone_6,suit
P0084,Molly,Sidhu,NO,2,FAMILY,2,DESK,blonde_f,blue,tone_1,blue
P0085,Phoebe,Mensah,NO,1,FAMILY,2,DESK,black_f,blue,tone_2,suit
P0086,Michael,Roberts,NO,1,FAMILY,2,KIOSK,brunette,black,tone_1,blue
P0087,Alex,Leroy,NO,2,LEISURE,1,KIOSK,black_f,black,tone_3,red
P0088,Charlie,Ryan,NO,3,LEISURE,2,DESK,blonde,blue,tone_6,red
P0089,Jordan,Phan,NO,3,BUSINESS,0,ONLINE,blonde,blue,tone_1,suit
P0090,Tara,Robinson,NO,2,SOLO,1,ONLINE,black_f,blue,tone_5,red
P0091,Isabella,Foster,NO,3,SOLO,1,DESK,blonde,black,tone_4,blue
P0092,Arnav,Bennett,NO,3,SOLO,0,DESK,blonde,black,tone_4,blue
P0093,Hamza,Bailey,NO,3,BUSINESS,0,ONLINE,black,blue,tone_1,olive+green
P0094,Lily,Brar,NO,2,BUSINESS,1,ONLINE,black,black,tone_1,red
P0095,Diego,Zielinski,YES,9,LEISURE,1,DESK,black_f,blue,tone_3,blue
P0096,Amina,White,YES,6,SOLO,2,DESK,black_f,blue,tone_5,olive+green
P0097,Isla,Lewandowski,NO,1,SOLO,0,DESK,brunette_f,black,tone_4,blue
P0098,Kojo,Jackson,NO,2,SOLO,2,ONLINE,black_f,blue,tone_4,suit
P0099,Riya,Bennett,NO,2,FAMILY,2,DESK,black_f,black,tone_2,olive+green
P0100,Ayana,Liu,YES,10,SOLO,1,ONLINE,black_f,blue,tone_3,olive+green
P0101,Grace,Rodriguez,YES,7,BUSINESS,1,ONLINE,blonde,blue,tone_2,suit
P0102,Manon,Wang,NO,1,FAMILY,3,DESK,black,black,tone_4,suit
P0103,Manon,Malhotra,NO,2,LEISURE,1,KIOSK,blonde_f,black,tone_3,blue
P0104,Kojo,Ferrari,YES,8,LEISURE,1,KIOSK,black_f,black,tone_1,olive+green
P0105,Cian,Siddiqui,NO,2,FAMILY,2,DESK,blonde,blue,tone_5,olive+green
P0106,Kacper,Vu,NO,1,LEISURE,1,KIOSK,black,black,tone_6,olive+green
P0107,Ren,Jones,NO,1,LEISURE,1,ONLINE,blonde_f,black,tone_6,suit
P0108,Cameron,Walker,NO,3,SOLO,1,KIOSK,brunette,black,tone_4,olive+green
P0109,Imani,Taylor,NO,1,LEISURE,1,DESK,black_f,blue,tone_1,blue
P0110,Niamh,Reddy,NO,3,SOLO,0,DESK,brunette,blue,tone_6,red
P0111,Charlotte,Okafor,NO,1,BUSINESS,1,KIOSK,brunette,blue,tone_4,blue
P0112,Manpreet,White,NO,2,BUSINESS,1,DESK,blonde_f,blue,tone_1,suit
P0113,Joon,Hussain,NO,3,FAMILY,1,DESK,blonde,black,tone_4,suit
P0114,Jian,Watson,NO,1,FAMILY,1,DESK,brunette,black,tone_2,red
P0115,Bao,Nasser,NO,1,FAMILY,1,DESK,brunette,black,tone_5,blue
P0116,Michael,Cho,NO,2,LEISURE,0,KIOSK,black,black,tone_3,blue
P0117,Minho,Wilson,NO,1,BUSINESS,0,ONLINE,blonde_f,black,tone_4,olive+green
P0118,Minji,Gomez,NO,2,SOLO,2,ONLINE,blonde_f,black,tone_3,red
P0119,Aryan,Watson,NO,1,LEISURE,0,ONLINE,blonde_f,blue,tone_3,suit
P0120,Arjun,Bose,NO,2,LEISURE,0,ONLINE,blonde,black,tone_2,red
P0121,Camille,Mehta,NO,2,LEISURE,2,DESK,brunette_f,black,tone_3,suit
P0122,Lily,Anderson,NO,1,BUSINESS,1,ONLINE,blonde_f,black,tone_5,blue
P0123,Kwame,Kumar,NO,2,BUSINESS,0,ONLINE,brunette,blue,tone_5,blue
P0124,Emilia,Sidhu,YES,6,LEISURE,1,KIOSK,brunette_f,blue,tone_1,suit
P0125,Isla,Kapoor,NO,2,FAMILY,2,ONLINE,brunette_f,blue,tone_2,olive+green
P0126,Isha,Weber,NO,2,LEISURE,1,DESK,blonde_f,blue,tone_5,suit
P0127,Mila,Ito,NO,2,FAMILY,1,DESK,black,blue,tone_2,olive+green
P0128,Simran,Keita,NO,3,BUSINESS,0,KIOSK,blonde,blue,tone_5,suit
P0129,Jordan,Evans,NO,2,FAMILY,1,ONLINE,brunette,blue,tone_2,olive+green
P0130,Henry,Garcia,NO,1,LEISURE,1,DESK,brunette_f,blue,tone_5,red
P0131,Ibrahim,Francis,YES,7,BUSINESS,0,ONLINE,black_f,blue,tone_6,suit
P0132,Hana,Wisniewski,NO,1,LEISURE,1,DESK,black,black,tone_4,red
P0133,Mia,Collins,NO,1,FAMILY,2,DESK,brunette_f,blue,tone_4,olive+green
P0134,Hamza,Francis,NO,1,LEISURE,1,ONLINE,blonde_f,black,tone_1,olive+green
P0135,Veer,Boateng,YES,5,LEISURE,1,DESK,black_f,blue,tone_1,blue
P0136,Vivaan,Dubois,NO,3,LEISURE,1,KIOSK,brunette_f,black,tone_6,blue
P0137,Jacob,Muller,NO,1,FAMILY,3,KIOSK,blonde_f,blue,tone_3,suit
P0138,Phoebe,Mehta,NO,1,SOLO,1,DESK,blonde,blue,tone_1,suit
P0139,Sota,Kelly,NO,1,LEISURE,0,DESK,black_f,black,tone_4,red
P0140,Felix,Okafor,NO,2,LEISURE,1,ONLINE,black,black,tone_2,suit
P0141,Isabella,Ahmed,YES,5,LEISURE,1,ONLINE,blonde_f,black,tone_6,olive+green
P0142,Ahmed,Kaminski,NO,1,SOLO,1,DESK,black,black,tone_3,olive+green
P0143,Jakub,Lee,NO,1,LEISURE,2,ONLINE,brunette_f,blue,tone_5,blue
P0144,Lucie,Durand,NO,1,SOLO,1,ONLINE,black,black,tone_1,blue
P0145,Luca,Kaminski,NO,3,FAMILY,3,KIOSK,black,black,tone_5,blue
P0146,Mariam,Okafor,NO,1,BUSINESS,0,ONLINE,blonde,blue,tone_5,blue
P0147,Layla,Traore,NO,2,LEISURE,1,KIOSK,blonde,black,tone_5,olive+green
P0148,Meera,Mensah,NO,1,LEISURE,2,ONLINE,black_f,black,tone_3,blue
P0149,Imran,Haddad,YES,5,FAMILY,1,DESK,black,blue,tone_6,olive+green
P0150,Dev,Toure,YES,8,BUSINESS,0,ONLINE,black,blue,tone_5,suit
P0151,Sakura,Owusu,NO,2,BUSINESS,2,ONLINE,black,black,tone_2,blue
P0152,Ryan,Owusu,NO,2,LEISURE,1,KIOSK,brunette,blue,tone_5,suit
P0153,Chidi,Huang,NO,2,BUSINESS,0,DESK,black_f,black,tone_1,olive+green
P0154,Alfie,Adeyemi,NO,1,LEISURE,1,KIOSK,blonde,black,tone_5,suit
P0155,Bethany,Carter,NO,1,LEISURE,2,DESK,black_f,black,tone_5,red
P0156,Minho,Camara,NO,3,FAMILY,2,DESK,blonde,black,tone_3,suit
P0157,Gurpreet,Keita,NO,1,SOLO,1,ONLINE,blonde,black,tone_5,olive+green
P0158,Zuri,Fofana,NO,2,LEISURE,0,DESK,black_f,black,tone_5,suit
P0159,Nia,Owusu,NO,2,BUSINESS,1,ONLINE,black_f,blue,tone_5,suit
P0160,Yusuf,Walker,NO,1,LEISURE,1,ONLINE,brunette_f,black,tone_6,blue
P0161,Isha,Camara,NO,3,LEISURE,1,KIOSK,black,blue,tone_3,olive+green
P0162,Adam,Gomez,NO,2,LEISURE,0,KIOSK,blonde,black,tone_2,blue
P0163,Harriet,Bose,NO,2,LEISURE,1,ONLINE,black,blue,tone_6,blue
P0164,Sebastian,Shah,NO,1,SOLO,2,KIOSK,brunette,blue,tone_3,red
P0165,Linh,Watanabe,NO,3,LEISURE,1,DESK,black,black,tone_5,olive+green
P0166,Wei,Jung,NO,3,LEISURE,2,ONLINE,brunette,black,tone_2,suit
P0167,Daichi,Shah,NO,2,LEISURE,1,ONLINE,brunette_f,blue,tone_5,suit
P0168,Imran,Morgan,NO,1,BUSINESS,0,ONLINE,blonde,blue,tone_1,suit
P0169,Louis,Park,NO,2,SOLO,1,ONLINE,brunette,blue,tone_1,red
P0170,Aarav,Agyeman,NO,3,LEISURE,1,ONLINE,blonde,black,tone_2,red
P0171,Bethany,Desai,NO,3,LEISURE,1,ONLINE,black,blue,tone_3,blue
P0172,Akira,Okafor,NO,1,LEISURE,0,ONLINE,brunette,black,tone_2,suit
P0173,Manpreet,Siddiqui,YES,10,LEISURE,0,ONLINE,brunette,blue,tone_3,olive+green
P0174,Adam,Chen,NO,2,LEISURE,1,ONLINE,brunette,blue,tone_5,red
P0175,Minji,Jimenez,NO,3,FAMILY,2,DESK,brunette,black,tone_4,olive+green
P0176,Krish,Moretti,NO,1,LEISURE,1,DESK,blonde,black,tone_2,blue
P0177,Nisha,Stewart,NO,1,SOLO,1,KIOSK,brunette,black,tone_5,red
P0178,Greta,Gray,NO,2,LEISURE,2,ONLINE,black,black,tone_2,red
P0179,Vivaan,Asante,NO,1,LEISURE,1,DESK,brunette_f,blue,tone_1,blue
P0180,Lily,Dang,NO,2,FAMILY,2,DESK,brunette,blue,tone_6,red
P0181,Sophie,Suzuki,NO,2,BUSINESS,1,ONLINE,black_f,black,tone_2,olive+green
P0182,Muhammad,Moreau,YES,7,BUSINESS,1,ONLINE,brunette_f,blue,tone_6,blue
P0183,Rin,Owusu,NO,1,LEISURE,2,DESK,brunette,black,tone_5,red
P0184,Ruby,Smith,YES,10,BUSINESS,0,ONLINE,blonde_f,blue,tone_4,olive+green
P0185,Rahul,Byrne,NO,2,LEISURE,1,DESK,brunette,black,tone_1,olive+green
P0186,Kenji,Kumar,NO,3,BUSINESS,1,ONLINE,black,blue,tone_1,olive+green
P0187,Jack,Kapoor,YES,7,SOLO,2,DESK,black_f,blue,tone_5,red
P0188,Sophie,Leroy,YES,5,BUSINESS,1,DESK,black,blue,tone_3,blue
P0189,Luca,Williams,NO,1,BUSINESS,1,ONLINE,brunette,black,tone_4,suit
P0190,Rohan,Boateng,NO,1,SOLO,1,DESK,black,black,tone_2,olive+green
P0191,Georgia,Evans,NO,1,LEISURE,1,DESK,brunette_f,blue,tone_1,blue
P0192,Femi,Young,NO,1,LEISURE,2,DESK,brunette_f,blue,tone_3,blue
P0193,Jamie,Malhotra,NO,1,LEISURE,1,ONLINE,brunette_f,blue,tone_2,olive+green
P0194,Matteo,Yamamoto,NO,3,SOLO,1,ONLINE,brunette,black,tone_1,suit
P0195,Casey,Chen,NO,1,FAMILY,3,DESK,black,black,tone_2,blue
P0196,Evie,Bamba,NO,2,FAMILY,3,DESK,black,blue,tone_6,red
P0197,Ming,Ali,YES,9,SOLO,1,ONLINE,brunette_f,black,tone_1,suit
P0198,Bao,Vu,NO,2,LEISURE,2,ONLINE,black,blue,tone_6,suit
P0199,Harpreet,Scott,NO,1,LEISURE,1,ONLINE,blonde,blue,tone_5,olive+green
P0200,Isha,Durand,NO,1,SOLO,1,ONLINE,brunette,black,tone_2,red
P0201,Ayaan,Diallo,NO,2,LEISURE,1,ONLINE,brunette,blue,tone_5,olive+green
P0202,Ali,Williams,NO,1,SOLO,1,ONLINE,blonde_f,blue,tone_1,blue
P0203,Dhruv,Garcia,NO,3,LEISURE,1,ONLINE,brunette_f,blue,tone_4,suit
P0204,Vihaan,Huynh,NO,3,FAMILY,2,DESK,blonde_f,black,tone_1,red
P0205,Johanna,Sharma,NO,2,LEISURE,0,ONLINE,brunette_f,black,tone_1,olive+green
P0206,Hassan,Rodriguez,NO,1,LEISURE,1,KIOSK,brunette_f,blue,tone_6,blue
P0207,Tomasz,Camara,YES,6,SOLO,1,ONLINE,blonde_f,blue,tone_2,suit
P0208,Khalid,Dang,NO,2,BUSINESS,1,ONLINE,brunette_f,blue,tone_2,suit
P0209,Alejandro,Kang,NO,2,SOLO,1,ONLINE,black_f,blue,tone_5,blue
P0210,Ahmed,Conti,YES,7,LEISURE,2,ONLINE,brunette_f,black,tone_3,blue
P0211,Camila,Jung,NO,1,FAMILY,2,KIOSK,brunette_f,blue,tone_2,olive+green
P0212,Dev,Boateng,YES,10,LEISURE,1,ONLINE,blonde,blue,tone_2,blue
P0213,Ngozi,Yang,NO,1,LEISURE,0,DESK,brunette,blue,tone_3,olive+green
P0214,Diego,Mehta,YES,10,LEISURE,1,DESK,brunette_f,blue,tone_5,red
P0215,Ali,Yang,NO,3,SOLO,1,ONLINE,black,black,tone_6,suit
P0216,Ronan,Baker,NO,1,LEISURE,1,ONLINE,black_f,blue,tone_3,olive+green
P0217,Marco,Gallagher,YES,10,SOLO,0,DESK,black_f,black,tone_6,suit
P0218,Jakub,Bailey,YES,8,BUSINESS,1,ONLINE,blonde_f,blue,tone_3,red
P0219,Luca,Ferrari,NO,1,BUSINESS,1,ONLINE,black,black,tone_4,red
P0220,Aanya,Reddy,NO,2,BUSINESS,2,ONLINE,blonde_f,blue,tone_2,red
P0221,Anh,Khalil,NO,1,FAMILY,2,DESK,black_f,blue,tone_1,olive+green
P0222,Kiet,Johnson,NO,1,LEISURE,1,ONLINE,blonde_f,black,tone_5,olive+green
P0223,Mariam,Hussain,NO,2,LEISURE,0,ONLINE,brunette,black,tone_6,red
P0224,Imani,Evans,NO,2,LEISURE,1,ONLINE,blonde_f,black,tone_6,blue
P0225,Samir,Baker,NO,1,LEISURE,1,ONLINE,brunette_f,black,tone_3,red
P0226,Phoebe,Lee,NO,1,BUSINESS,1,KIOSK,black,black,tone_6,red
P0227,Aditya,Ryan,YES,5,BUSINESS,0,ONLINE,brunette_f,blue,tone_2,red
P0228,Emilia,Haddad,YES,9,BUSINESS,1,ONLINE,blonde,blue,tone_1,suit
P0229,Mandeep,Petit,NO,1,LEISURE,1,ONLINE,black_f,black,tone_3,blue
P0230,Sakura,Brown,YES,7,LEISURE,0,KIOSK,black_f,blue,tone_1,suit
P0231,Jasleen,Campbell,YES,7,SOLO,0,KIOSK,black,blue,tone_2,suit
P0232,Mai,Nasser,NO,2,LEISURE,1,ONLINE,brunette,blue,tone_5,suit
P0233,Kabir,Gomez,NO,2,LEISURE,0,ONLINE,black,black,tone_4,red
P0234,Louis,Yoon,NO,3,LEISURE,1,KIOSK,blonde_f,blue,tone_3,suit
P0235,Arthur,Bianchi,YES,7,BUSINESS,0,DESK,blonde,blue,tone_3,suit
P0236,Alex,Anderson,NO,2,LEISURE,0,ONLINE,blonde_f,blue,tone_3,red
P0237,Hugo,Keita,YES,9,FAMILY,2,ONLINE,black_f,black,tone_2,olive+green
P0238,Gabriel,Suzuki,YES,8,FAMILY,2,KIOSK,black_f,blue,tone_6,olive+green
P0239,Hannah,Scott,YES,7,BUSINESS,0,KIOSK,blonde,blue,tone_1,blue
P0240,Isabella,Singh,NO,3,LEISURE,1,ONLINE,brunette_f,blue,tone_5,red
P0241,Daichi,Kaminski,NO,1,SOLO,1,ONLINE,black,blue,tone_5,suit
P0242,Isla,Sow,NO,2,LEISURE,1,DESK,brunette,blue,tone_4,red
P0243,Grace,Gomez,NO,1,LEISURE,1,KIOSK,brunette_f,black,tone_3,blue
P0244,Giulia,Scott,NO,2,SOLO,1,DESK,brunette,black,tone_5,suit
P0245,Chidi,Young,YES,5,FAMILY,1,DESK,blonde_f,blue,tone_4,blue
P0246,Anja,Huang,YES,5,LEISURE,1,DESK,black,blue,tone_5,suit
P0247,Niamh,Robinson,NO,1,SOLO,1,DESK,blonde_f,black,tone_5,red
P0248,Amina,Ruiz,NO,2,BUSINESS,1,ONLINE,blonde,black,tone_5,blue
P0249,Tara,Durand,NO,1,LEISURE,1,ONLINE,blonde_f,black,tone_1,red
P0250,Eoin,Reed,NO,2,LEISURE,2,ONLINE,brunette_f,blue,tone_5,blue
P0251,Ryan,Yang,NO,1,LEISURE,0,ONLINE,brunette_f,blue,tone_4,red
P0252,Jasleen,Ruiz,YES,6,LEISURE,1,ONLINE,brunette,black,tone_4,red
P0253,Mai,Wilson,NO,2,FAMILY,2,DESK,blonde_f,black,tone_1,blue
P0254,Niamh,Mahmood,NO,1,LEISURE,0,DESK,black_f,blue,tone_6,olive+green
P0255,Tariq,Leroy,NO,1,LEISURE,0,ONLINE,black,black,tone_3,blue
P0256,Karim,Martinez,NO,1,BUSINESS,0,KIOSK,blonde_f,black,tone_5,blue
P0257,Rahul,Adams,NO,3,LEISURE,1,DESK,brunette_f,blue,tone_6,suit
P0258,Bao,Conti,NO,2,FAMILY,2,KIOSK,black,black,tone_2,suit
P0259,Camila,Mensah,NO,3,BUSINESS,1,ONLINE,black_f,blue,tone_6,suit
P0260,Haruto,Richards,NO,3,FAMILY,3,DESK,black_f,black,tone_4,blue
P0261,Jaspreet,Clarke,NO,1,LEISURE,1,KIOSK,blonde_f,blue,tone_5,red
P0262,Amelia,Nasser,YES,6,LEISURE,1,DESK,black_f,black,tone_3,suit
P0263,Cian,Wu,NO,3,BUSINESS,0,KIOSK,black_f,blue,tone_3,blue
P0264,Alfie,Kelly,NO,2,LEISURE,2,KIOSK,black,blue,tone_1,blue
P0265,Evie,Bennett,NO,3,BUSINESS,1,DESK,brunette,black,tone_1,suit
P0266,Jaspreet,Adams,NO,2,BUSINESS,1,ONLINE,black,black,tone_3,red
P0267,Ella,Fofana,YES,5,BUSINESS,0,ONLINE,blonde,black,tone_2,red
P0268,Yuki,Le,NO,1,FAMILY,3,ONLINE,blonde,blue,tone_4,suit
P0269,Obinna,Morgan,NO,3,LEISURE,1,KIOSK,black_f,blue,tone_3,olive+green
P0270,Nari,Chopra,NO,1,LEISURE,0,ONLINE,brunette,blue,tone_5,blue
P0271,Joon,Singh,YES,10,BUSINESS,0,KIOSK,blonde,blue,tone_5,blue
P0272,Tunde,Saleh,NO,1,FAMILY,3,DESK,brunette,blue,tone_5,olive+green
P0273,Luke,Takahashi,NO,1,LEISURE,1,ONLINE,brunette,black,tone_3,blue
P0274,Sota,Pham,NO,2,FAMILY,2,DESK,brunette_f,blue,tone_1,blue
P0275,Amrit,Martinez,NO,1,LEISURE,0,ONLINE,brunette_f,black,tone_1,red
P0276,Hassan,Malhotra,NO,1,LEISURE,1,ONLINE,blonde_f,black,tone_1,olive+green
P0277,Jasleen,Wilson,YES,7,LEISURE,0,KIOSK,brunette,black,tone_5,suit
P0278,Daichi,Tanaka,NO,2,SOLO,1,DESK,black,blue,tone_4,suit
P0279,Luca,Tran,YES,10,FAMILY,2,DESK,black,black,tone_2,blue
P0280,Greta,Rahman,NO,1,SOLO,0,ONLINE,brunette_f,blue,tone_1,red
P0281,Veer,Park,NO,2,SOLO,2,ONLINE,black,black,tone_1,suit
P0282,Yasmin,Ferrari,NO,2,BUSINESS,0,KIOSK,blonde,black,tone_3,olive+green
P0283,Isla,Shah,NO,1,LEISURE,0,ONLINE,brunette_f,blue,tone_3,red
P0284,Tao,Joshi,NO,1,FAMILY,2,ONLINE,blonde,blue,tone_2,olive+green
P0285,Yuki,Bianchi,NO,1,FAMILY,3,ONLINE,black,black,tone_3,suit
P0286,Mandeep,Hussain,NO,1,FAMILY,1,DESK,black,blue,tone_6,red
P0287,Karim,Ahmed,NO,1,SOLO,1,ONLINE,brunette,black,tone_6,suit
P0288,Minji,Jackson,NO,1,LEISURE,0,DESK,black,blue,tone_4,suit
P0289,Camila,O'Brien,NO,2,BUSINESS,1,KIOSK,brunette_f,black,tone_2,olive+green
P0290,Hao,Martinez,NO,1,SOLO,0,DESK,black_f,black,tone_5,blue
P0291,Cian,Moreau,YES,5,LEISURE,1,ONLINE,black,black,tone_4,red
P0292,Camille,Robinson,NO,1,SOLO,1,DESK,blonde_f,blue,tone_4,red
P0293,Sophia,Kaur,NO,1,BUSINESS,0,ONLINE,black_f,black,tone_3,suit
P0294,Michael,Okafor,NO,3,BUSINESS,1,ONLINE,brunette_f,black,tone_1,blue
P0295,Gurpreet,Ali,YES,9,FAMILY,2,DESK,brunette,blue,tone_4,olive+green
P0296,Jelani,Walker,NO,3,LEISURE,1,ONLINE,blonde_f,blue,tone_5,red
